epoch,binary_crossentropy,dice_coef,learning_rate,loss,precision,recall,val_binary_crossentropy,val_dice_coef,val_loss,val_precision,val_recall
0,0.6230396628379822,0.15124915540218353,0.0010000000474974513,2.1720595359802246,0.09474251419305801,0.19958621263504028,0.6869702339172363,0.1314876526594162,1.7743794918060303,0.062142957001924515,0.22318075597286224
1,0.4986684322357178,0.2141025960445404,0.0010000000474974513,1.6822619438171387,0.2488255351781845,0.38731566071510315,0.6875909566879272,0.1324082463979721,1.7714316844940186,0.0762472003698349,0.34510838985443115
2,0.46961674094200134,0.26329898834228516,0.0010000000474974513,1.5204453468322754,0.32596397399902344,0.6058910489082336,0.6963087320327759,0.13654713332653046,1.7625466585159302,0.10916426032781601,0.9555739164352417
3,0.46428176760673523,0.28478312492370605,0.0010000000474974513,1.4623517990112305,0.3351817727088928,0.6674028038978577,0.6889255046844482,0.1393211930990219,1.7478644847869873,0.11284594237804413,0.995110273361206
4,0.4483557939529419,0.31700050830841064,0.0010000000474974513,1.409913420677185,0.3592333197593689,0.6849875450134277,0.675382673740387,0.14155489206314087,1.7311878204345703,0.1154615581035614,0.9946919083595276
5,0.4391658306121826,0.3277009129524231,0.0010000000474974513,1.3423668146133423,0.3634549379348755,0.7444124221801758,0.6578516960144043,0.14522697031497955,1.7072453498840332,0.11897320300340652,0.9890584945678711
6,0.43533021211624146,0.33437323570251465,0.0010000000474974513,1.2953643798828125,0.3541584610939026,0.7772602438926697,0.6460447311401367,0.15057343244552612,1.6821308135986328,0.11710590869188309,0.9945989847183228
7,0.4173841178417206,0.3730071783065796,0.0010000000474974513,1.237652063369751,0.3927631974220276,0.8061174750328064,0.6541271209716797,0.15594974160194397,1.6711007356643677,0.11517812311649323,0.9983360171318054
8,0.4143497347831726,0.36877304315567017,0.0010000000474974513,1.2283494472503662,0.3870616853237152,0.7998136878013611,0.653813898563385,0.15939085185527802,1.6607401371002197,0.11585500091314316,0.9972111582756042
9,0.4146959185600281,0.36894428730010986,0.0010000000474974513,1.2341656684875488,0.3926066756248474,0.7785446047782898,0.6268070340156555,0.15825888514518738,1.6460375785827637,0.1380803883075714,0.9572193622589111
